Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background,Candidato,Tema
2017,12,14,,,,,,,La alianza conservadora de AMLO con el PES,"Alianza no sólo busca sumar los votos y ganar, sino que AMLO en realidad tiene parte de ideología conservadora",http://www.excelsior.com.mx/media/opinion/2017/03/02/1631690.jpg,Excelsior,"<a href=""http://www.excelsior.com.mx/opinion/leo-zuckermann/2017/12/14/1207754"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
2017,12,14,,,,,,,Ideologías puestas entre PES y MORENA. Sólo van por votos,Yuriria Sierra tiene los mismos puntos que Zuckermann,http://www.excelsior.com.mx/media/opinion/2015/04/28/1204728.jpg,Excelsior,"<a href=""http://www.excelsior.com.mx/opinion/yuriria-sierra/2017/12/14/1207764"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
2017,12,14,,,,,,,Los peligrosos pasos de AMLO,"Pablo Hiriart dice que las propuestas de AMLO sobre la guardia nacional, la aministía a narcos y los subsidios a los jóvenes no cumplen con las vialidades del Estado de Derecho Mexicano. En caso, muy probable, de que no tenga los recursos para cumplir con sus propuestas de campaña, alegará que lo estan frenando los mismos actores de siempre",http://www.elfinanciero.com.mx/files/article_main/uploads/2017/12/14/5a329b21330f8.png,El Financiero,"<a href=""http://www.elfinanciero.com.mx/opinion/los-peligrosos-pasos-de-amlo.html"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
2017,12,15,,,,,,,Primer acto de campaña en CDMX,,https://www.youtube.com/watch?v=5LGfkUH0jY0#action=share,Twitter,"<a href=""https://www.youtube.com/watch?v=5LGfkUH0jY0#action=share"">Leer nota</a>",https://i.imgur.com/S9RVwJo.png,,Campaña,,AMLO,
2017,12,15,,,,,,,"""Esto soy yo""","presentación del documental autobiográfico ‘Esto Soy’, producido por Epigmenio Ibarra y Verónica Velasco.",https://www.youtube.com/watch?v=TClF8dK7EE0#action=share,Pagina oficial de AMLO,"<a href=""https://www.youtube.com/watch?v=TClF8dK7EE0#action=share"">Leer nota</a>",https://i.imgur.com/S9RVwJo.png,,Campaña,,AMLO,
2017,12,15,,,,,,,Gabinete de AMLO habla,,http://www.animalpolitico.com/wp-content/uploads/2017/12/IMG_20171214_123333-e1513366249157-960x500.jpg,Cuarto oscuro,"<a href=""http://www.animalpolitico.com/2017/12/gabinete-lopez-obrador-propuestas/"">Leer nota</a>",https://i.imgur.com/t46Q6PE.png,,Actores,,AMLO,
2017,12,15,06:44,,,,,,Personajes con pasado priista se cuelan a gabinete de AMLO,,https://www.debate.com.mx/__export/1513345357003/sites/debate/img/2017/12/15/gabinete.jpg_539665225.jpg,Debate - Sinaloa,"<a href=""https://www.debate.com.mx/politica/Personajes-con-pasado-priista-se-cuelan-a-gabinete-de-AMLO-20171215-0019.html"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
2017,12,15,,,,,,,AMLO pide tranquilidad ante aprobación de Ley de Seguridad Interior porque no se va a reprimir al pueblo,,https://i0.wp.com/ljz.mx/wp-content/uploads/2017/12/la-jornada-zacatecas-amlo3_lj.jpg?fit=1024%2C683,La jornada Zacatecas,"<a href=""http://ljz.mx/2017/12/15/pide-amlo-tranquilidad-ante-aprobacion-de-ley-de-seguridad-interior/"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
2017,12,15,,,,,,,Enfrentamiento entre simpatizantes de AMLO y personal de la delegación Coyoacán,,http://az778189.vo.msecnd.net/media/fotos/g/7f131d7fc35a810070fec16bd9fff9ac.png,twitter,"<a href=""http://www.mvsnoticias.com/#!/noticias/enfrentamiento-entre-simpatizantes-de-amlo-y-personal-de-la-delegacion-coyoacan-606"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
2017,12,16,,,,,,,AMLO encabeza encuestas,"En la zona rural y urbana de Sinaloa, AMLO es el más conocido. Margarita va en segundo lugar",https://www.debate.com.mx/export/sites/debate/img/2017/12/16/7.jpg_193478738.jpg,El Debate Sinaloa,"<a href=""https://www.debate.com.mx/politica/AMLO-y-Morena-arrancan-con-ventaja-en-Sinaloa--20171216-0158.html"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
